Accession,Release_Date,Isolate,Genotype,Geo_Location,Country,USA,Collection_Date,GenBank_Title
OP022902,2022-09-17T00:00:00Z,P1,,United Kingdom,United Kingdom,,2015,"Hepacivirus C isolate P1 polyprotein gene, complete cds"
OP022903,2022-09-17T00:00:00Z,P2,,United Kingdom,United Kingdom,,2018,"Hepacivirus C isolate P2 polyprotein gene, complete cds"
OP022904,2022-09-17T00:00:00Z,P3,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P3 polyprotein gene, complete cds"
OP022905,2022-09-17T00:00:00Z,P4,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P4 polyprotein gene, complete cds"
OP022906,2022-09-17T00:00:00Z,P5,,United Kingdom,United Kingdom,,2018,"Hepacivirus C isolate P5 polyprotein gene, complete cds"
OP022907,2022-09-17T00:00:00Z,P6,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P6 polyprotein gene, complete cds"
OP022908,2022-09-17T00:00:00Z,P7,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P7 polyprotein gene, complete cds"
OP022909,2022-09-17T00:00:00Z,P8,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P8 polyprotein gene, complete cds"
OP022910,2022-09-17T00:00:00Z,P9,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P9 polyprotein gene, complete cds"
OP022911,2022-09-17T00:00:00Z,P10,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P10 polyprotein gene, complete cds"
OP022912,2022-09-17T00:00:00Z,P11,,United Kingdom,United Kingdom,,2018,"Hepacivirus C isolate P11 polyprotein gene, complete cds"
OP022913,2022-09-17T00:00:00Z,P12,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P12 polyprotein gene, complete cds"
OP022914,2022-09-17T00:00:00Z,P13,,United Kingdom,United Kingdom,,2018,"Hepacivirus C isolate P13 polyprotein gene, complete cds"
