strain	clade_membership	accession	date	source	country	original_annotated_genotype	original_annotated_subtype
NC_009824	3						
HCV/SP176369/KY620508/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP179554/KY620511/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP106397/KY620512/UNKNOWN/2014	3		2014-01-03	ncbi			
HCV/SP151412/KY620513/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/AUS_124/KX621426/AUSTRALIA/2007	3		2007-02-20	ncbi	Australia		
HCV/SP196399/KY620509/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP132633/KY620510/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/BBAASH562/KX621475/USA/2010	3		2010-01-26	ncbi	USA		
HCV/SP199191/KY620514/UNKNOWN/2014	3		2014-01-03	ncbi			
HCV/BBAASH430/KX621472/USA/2008	3		2008-03-03	ncbi	USA		
HCV/2000976/MT632162/ISRAEL/2017	3		2017-02-06	ncbi	Israel		
HCV/SP183818/KY620538/UNKNOWN/2014	3		2014-01-11	ncbi			
HCV/SP133096/KY620584/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP116905/KY620486/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/SP138504/KY620487/UNKNOWN/2014	3		2014-01-08	ncbi			
HCV/SP193645/KY620554/UNKNOWN/2014	3		2014-01-13	ncbi			
HCV/HEP4503/KX621479/CANADA/2005	3		2005-09-20	ncbi	Canada		
HCV/2000912/MT632158/ISRAEL/2016	3		2016-11-03	ncbi	Israel		
HCV/SP102021/KY620556/UNKNOWN/2014	3		2014-01-14	ncbi			
HCV/SL29/MN628586/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL17/MN628577/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL16/MN628576/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL23/MN628583/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL32/MN628588/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
