strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/P1/OP022902/UNITED-KINGDOM/2015	MZ171127	ictv	United Kingdom	?	?	2018-XX-XX	6xj	6	6
HCV/P2/OP022903/UNITED-KINGDOM/2018	MZ171134	ictv	United Kingdom	?	?	2018-XX-XX	6xj	6	6
HCV/P3/OP022904/UNITED-KINGDOM/2019	MZ504973	ictv	United Kingdom	?	?	2018-XX-XX	6xi	6	6
HCV/P4/OP022905/UNITED-KINGDOM/2019	MZ504976	ictv	United Kingdom	?	?	2019-XX-XX	6xi	6	6
HCV/P5/OP022906/UNITED-KINGDOM/2018	MW041294	ictv	United Kingdom	?	?	2004-XX-XX	2	2	2
HCV/P6/OP022907/UNITED-KINGDOM/2019	MW041295	ictv	United Kingdom	?	?	2005-XX-XX	2v	2	2
HCV/P7/OP022908/UNITED-KINGDOM/2019	MW041296	ictv	United Kingdom	?	?	2005-XX-XX	2	2	2
HCV/P8/OP022909/UNITED-KINGDOM/2019	MW041297	ictv	United Kingdom	?	?	2007-XX-XX	2v	2	2
HCV/P9/OP022910/UNITED-KINGDOM/2019	MW041298	ictv	United Kingdom	?	?	2008-XX-XX	2v	2	2
HCV/P10/OP022911/UNITED-KINGDOM/2019	MW041299	ictv	United Kingdom	?	?	2005-XX-XX	2v	2	2
HCV/P11/OP022912/UNITED-KINGDOM/2018	MN240359	ictv	United Kingdom	?	?	2019-01-XX	6	6	6
HCV/P12/OP022913/UNITED-KINGDOM/2019	MH921830	ictv	United Kingdom	?	?	2018-06-XX	1	1	1
HCV/P13/OP022914/UNITED-KINGDOM/2018	MH885469	ictv	United Kingdom	?	?	2017-XX-XX	1o	1	1
HCV/P14/OP022915/UNITED-KINGDOM/2019	MH492360	ictv	United Kingdom	?	?	2014-XX-XX	6xg	6	6
HCV/P15/OP022916/UNITED-KINGDOM/2019	MH492361	ictv	United Kingdom	?	?	2014-XX-XX	6xg	6	6
HCV/P16/OP022917/UNITED-KINGDOM/2019	MH492362	ictv	United Kingdom	?	?	2014-XX-XX	6xg	6	6
HCV/P17/OP022918/UNITED-KINGDOM/2018	MG878999	ictv	United Kingdom	?	?	2014-XX-XX	6	6	6
HCV/P18/OP022919/UNITED-KINGDOM/2019	MG879000	ictv	United Kingdom	?	?	2014-XX-XX	6xh	6	6
HCV/P19/OP022920/UNITED-KINGDOM/2019	MH590698	ictv	United Kingdom	?	?	2016-03-14	8a	8	8
HCV/P20/OP022921/UNITED-KINGDOM/2019	MH590699	ictv	United Kingdom	?	?	2016-03-21	8a	8	8
HCV/S553_20090408_FL_A22/OK552682/USA/2009	MH590700	ictv	USA	?	?	2017-09-06	8a	8	8
HCV/S553_20090408_FL_B13/OK552683/USA/2009	MH590701	ictv	USA	?	?	2015-01-27	8a	8	8
HCV/S553_20090408_FL_B15/OK552684/USA/2009	KU861171	ictv	USA	?	?	2014-03-11	7	7	7
HCV/S553_20090408_FL_B16/OK552685/USA/2009	KY348757	ictv	USA	?	?	2015-09-XX	1	1	1
HCV/S553_20090408_FL_C01/OK552686/USA/2009	KX092342	ictv	USA	?	?	2010-01-XX	7b	7	7
HCV/S553_20090408_FL_C03/OK552687/USA/2009	KT595242	ictv	USA	?	?	2009-01-01	5	5	5
HCV/S553_20090408_FL_C04/OK552688/USA/2009	KM252789	ictv	USA	?	?	XXXX-XX-XX	6xd	6	?
HCV/S553_20090408_FL_C06/OK552689/USA/2009	KM252790	ictv	USA	?	?	XXXX-XX-XX	6xd	6	?
HCV/S553_20090408_FL_C09/OK552690/USA/2009	KM252791	ictv	USA	?	?	XXXX-XX-XX	6xd	6	?
HCV/S553_20090408_FL_C10/OK552691/USA/2009	KM252792	ictv	USA	?	?	XXXX-XX-XX	6xe	6	?
HCV/S553_20090408_FL_C11/OK552692/USA/2009	KJ567644	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C12/OK552693/USA/2009	KJ567645	ictv	USA	?	?	XXXX-XX-XX	6xb	6	?
HCV/S553_20090408_FL_C13/OK552694/USA/2009	KJ567646	ictv	USA	?	?	XXXX-XX-XX	6xf	6	?
HCV/S553_20090408_FL_C14/OK552695/USA/2009	KJ567647	ictv	USA	?	?	XXXX-XX-XX	6xf	6	?
HCV/S553_20090408_FL_C15/OK552696/USA/2009	KJ567648	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C16/OK552697/USA/2009	KJ567649	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C17/OK552698/USA/2009	KJ567650	ictv	USA	?	?	XXXX-XX-XX	6	6	?
