strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/S553_20120822_FL_C11/OK552774/USA/2012	JQ065709	ictv	USA	?	?	2011-08-22	3b	3	3
HCV/S553_20120822_FL_C24/OK552786/USA/2012	JN714194	ictv	USA	?	?	2011-06-11	3a	3	3
HCV/S553_20130122_FL_A16/OK552799/USA/2013	FJ407092	ictv	USA	?	?	2002-06-02	3i	3	3
HCV/HCV036_S/OM896881/CHINA/2011	OM896881	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV037_S/OM896882/CHINA/2011	OM896882	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV044/OM896883/CHINA/2009	OM896883	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV045_S/OM896884/CHINA/2009	OM896884	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV046_S/OM896885/CHINA/2010	OM896885	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV047/OM896886/CHINA/2010	OM896886	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV048/OM896887/CHINA/2010	OM896887	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV049_S/OM896888/CHINA/2010	OM896888	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV050_S/OM896889/CHINA/2010	OM896889	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV052_S/OM896890/CHINA/2010	OM896890	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV053/OM896891/CHINA/2011	OM896891	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV054_S/OM896892/CHINA/2011	OM896892	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV055_S/OM896893/CHINA/2011	OM896893	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV056_S/OM896894/CHINA/2011	OM896894	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV057/OM896895/CHINA/2010	OM896895	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV058/OM896896/CHINA/2010	OM896896	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV109_S/OM896897/CHINA/2009	OM896897	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV110_S/OM896898/CHINA/2010	OM896898	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV111_S/OM896899/CHINA/2010	OM896899	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV112_S/OM896900/CHINA/2010	OM896900	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV114_S/OM896901/CHINA/2010	OM896901	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV115_S/OM896902/CHINA/2010	OM896902	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV123/OM896903/CHINA/2011	OM896903	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV135_S/OM896904/CHINA/2011	OM896904	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV174_S/OM896905/CHINA/2011	OM896905	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV175/OM896906/CHINA/2011	OM896906	ncbi	China	?	?	2011-XX-XX	?	?	3
